id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
li-4418594256,linkedin,https://www.linkedin.com/jobs/view/4418594256,,Software Engineer,PortSwigger,"Knutsford, England, UK",2026-05-27,,,,,,,False,,,,,,,https://uk.linkedin.com/company/portswigger,,,,,,,,,,,,
li-4375032499,linkedin,https://www.linkedin.com/jobs/view/4375032499,,Backend Engineer,Happl,"London, England, UK",2026-05-27,,,,,,,False,,,,,,,https://uk.linkedin.com/company/happl,,,,,,,,,,,,
li-4308713798,linkedin,https://www.linkedin.com/jobs/view/4308713798,,Software Engineer,Heliux,"San Francisco, CA",2026-05-27,,,,,,,False,,,,,,,https://www.linkedin.com/company/heliux,,,,,,,,,,,,
li-4421235421,linkedin,https://www.linkedin.com/jobs/view/4421235421,,Software Engineer (All Levels),Fieldguide,"San Francisco, CA",,,,,,,,False,,,,,,,https://www.linkedin.com/company/fieldguide-inc,,,,,,,,,,,,
li-4401823762,linkedin,https://www.linkedin.com/jobs/view/4401823762,,Junior Software Engineer,Scotiabank,"Scarborough, Ontario, Canada",,,,,,,,False,,,,,,,https://ca.linkedin.com/company/scotiabank,,,,,,,,,,,,
li-4422082321,linkedin,https://www.linkedin.com/jobs/view/4422082321,,Fullstack Developer KE,Core Code io,"Nairobi, Nairobi County",,,,,,,,False,,,,,,,https://www.linkedin.com/company/core-code-io,,,,,,,,,,,,
li-4410836440,linkedin,https://www.linkedin.com/jobs/view/4410836440,,"Software Engineer, AlloyDB Database Internals",Google,"Bengaluru, Karnataka, India",,,,,,,,False,,,,,,,https://www.linkedin.com/company/google,,,,,,,,,,,,
li-4421210155,linkedin,https://www.linkedin.com/jobs/view/4421210155,,Software Engineer,Opendoor,"Miami, FL",,,,,,,,False,,,,,,,https://www.linkedin.com/company/opendoor-com,,,,,,,,,,,,
li-4410878104,linkedin,https://www.linkedin.com/jobs/view/4410878104,,Software Engineer,Metrea,"Victor, NY",,,,,,,,False,,,,,,,https://www.linkedin.com/company/metreaaero,,,,,,,,,,,,
li-4420991755,linkedin,https://www.linkedin.com/jobs/view/4420991755,,Software Engineer,Opendoor,"Toronto, Ontario, Canada",,,,,,,,False,,,,,,,https://www.linkedin.com/company/opendoor-com,,,,,,,,,,,,
li-4421246593,linkedin,https://www.linkedin.com/jobs/view/4421246593,,Software Engineer I,Wayfair,"Toronto, Ontario, Canada",,,,,,,,False,,,,,,,https://www.linkedin.com/company/wayfair,,,,,,,,,,,,
